LakeID,SampleDate,CageNumber,AnimalNumber,GosnerStage,TadpoleWeight
10102,23-Aug-09,0,1,28,2.4
10102,23-Aug-09,0,2,31,2.8
10102,23-Aug-09,0,3,31,2.8
10102,23-Aug-09,0,4,34,3.6
10102,23-Aug-09,0,5,32,3.7
10102,23-Aug-09,0,6,31,2.3
10102,23-Aug-09,0,7,34,3.6
10102,23-Aug-09,0,8,36,6.8
10102,23-Aug-09,0,9,37,4.9
10102,23-Aug-09,0,10,37,6.5
10102,23-Aug-09,0,11,39,8.8
10102,23-Aug-09,0,12,41,11.3
10102,23-Aug-09,0,13,35,5.7
10102,23-Aug-09,0,14,41,11.8
10102,23-Aug-09,0,15,35,4.9
10102,23-Aug-09,0,16,40,10
10102,23-Aug-09,0,17,38,6.6
10102,23-Aug-09,0,18,36,5.1
10102,23-Aug-09,0,19,30,3.1
10102,23-Aug-09,0,20,35,4.3
10102,23-Aug-09,0,21,35,4.8
10102,23-Aug-09,0,22,34,4.1
10102,23-Aug-09,0,23,37,5
10102,23-Aug-09,0,24,38,5.8
10102,23-Aug-09,0,25,26,0.7
10102,23-Aug-09,0,26,38,6.1
10102,23-Aug-09,0,27,36,5.1
10102,23-Aug-09,0,28,26,0.5
10102,23-Aug-09,0,29,41,11
10102,23-Aug-09,0,30,37,6.2
10475,12-Aug-09,0,1,41,4.9
10475,12-Aug-09,0,2,41,4.2
10475,12-Aug-09,0,3,41,7.1
10475,12-Aug-09,0,4,38,6.7
10475,12-Aug-09,0,5,40,5.1
10475,12-Aug-09,0,6,38,8.1
10475,12-Aug-09,0,7,37,5.9
10475,12-Aug-09,0,8,40,5.4
10475,12-Aug-09,0,9,37,5.4
10475,12-Aug-09,0,10,38,7.3
10475,12-Aug-09,0,11,39,6.4
10475,12-Aug-09,0,12,40,6.8
10475,12-Aug-09,0,13,40,6.2
10475,12-Aug-09,0,14,41,4.5
10475,12-Aug-09,0,15,37,5.4
10475,12-Aug-09,0,16,41,4.9
10475,12-Aug-09,0,17,39,6.3
10475,31-Aug-09,0,1,33,2.6
10475,31-Aug-09,0,2,33,2
10475,31-Aug-09,0,3,33,2.5
10475,31-Aug-09,0,4,32,2.9
10475,31-Aug-09,0,5,35,2.8
10475,31-Aug-09,0,6,33,2.7
10475,31-Aug-09,0,7,35,2.8
10475,31-Aug-09,0,8,35,2.6
10475,31-Aug-09,0,9,31,2.3
10475,31-Aug-09,0,10,31,2.2
10475,31-Aug-09,0,11,31,2.2
10475,31-Aug-09,0,12,31,2.1
10475,31-Aug-09,0,13,33,2.8
10475,31-Aug-09,0,14,33,2.8
10475,31-Aug-09,0,15,31,1.7
10475,31-Aug-09,0,16,31,2.3
10475,31-Aug-09,0,17,27,0.3
10475,31-Aug-09,0,18,34,3.1
10475,31-Aug-09,0,19,27,0.5
10475,31-Aug-09,0,20,28,0.4
10475,31-Aug-09,0,21,27,0.3
10475,31-Aug-09,0,22,28,0.8
10475,31-Aug-09,0,23,31,2.1
10475,31-Aug-09,0,24,41,6.2
10475,31-Aug-09,0,25,32,1.4
10475,31-Aug-09,0,26,27,0.3
10475,31-Aug-09,0,27,40,6.2
10475,31-Aug-09,0,28,35,2.7
10475,31-Aug-09,0,29,31,1.9
10475,31-Aug-09,0,30,35,2.7
10475,31-Aug-09,0,31,31,1.9
10475,21-Sep-09,0,1,31,3.5
10475,21-Sep-09,0,2,34,3
10475,21-Sep-09,0,3,34,2.7
10475,21-Sep-09,0,4,38,7.3
10475,21-Sep-09,0,5,27,0.6
10475,21-Sep-09,0,6,28,1.4
10475,21-Sep-09,0,7,31,2.3
10475,21-Sep-09,0,8,27,1.4
10475,21-Sep-09,0,9,32,2.9
10475,21-Sep-09,0,10,31,2.7
10475,21-Sep-09,0,11,33,2.4
10475,21-Sep-09,0,12,26,0.4
10475,21-Sep-09,0,13,34,3
10475,21-Sep-09,0,14,26,0.1
10475,21-Sep-09,0,15,34,3.3
10475,21-Sep-09,0,16,34,3.5
10475,21-Sep-09,0,17,31,3
10475,21-Sep-09,0,18,31,2.9
10475,21-Sep-09,0,19,26,0.5
10475,21-Sep-09,0,20,34,3.2
10475,21-Sep-09,0,21,29,3
10475,21-Sep-09,0,22,33,2.7
10475,21-Sep-09,0,23,33,3.4
10475,21-Sep-09,0,24,31,3.1
10475,21-Sep-09,0,25,38,7.1
10475,21-Sep-09,0,26,31,3.1
10475,21-Sep-09,0,27,39,3.6
10475,21-Sep-09,0,28,31,2.4
10475,21-Sep-09,0,29,31,2.4
10475,21-Sep-09,0,30,31,2.2
10102,15-Jul-09,1,1,37,8.2
10102,15-Jul-09,1,2,38,7.6
10102,15-Jul-09,1,3,31,2.6
10102,15-Jul-09,1,4,35,3.8
10102,15-Jul-09,1,5,31,3.2
10102,15-Jul-09,1,6,31,2.6
10102,15-Jul-09,1,7,34,2.9
10102,15-Jul-09,1,8,35,3.2
10102,15-Jul-09,1,9,34,3.1
10102,15-Jul-09,1,10,35,3.5
10102,15-Jul-09,1,11,33,4.1
10102,15-Jul-09,1,12,35,3
10102,15-Jul-09,1,13,32,2.9
10102,15-Jul-09,1,14,37,7.5
10102,15-Jul-09,1,15,37,7.1
10102,15-Jul-09,1,16,35,2.7
10102,15-Jul-09,1,17,35,3.2
10102,15-Jul-09,1,18,32,2.7
10102,15-Jul-09,1,19,37,7.8
10102,15-Jul-09,1,20,35,3.4
10102,15-Jul-09,2,1,31,3.2
10102,15-Jul-09,2,2,35,3.7
10102,15-Jul-09,3,1,31,2.9
10102,15-Jul-09,3,2,34,3.5
10102,15-Jul-09,6,1,36,3.5
10102,15-Jul-09,6,2,35,3.4
10102,15-Jul-09,6,3,35,3.3
10102,15-Jul-09,6,4,32,2.9
10102,15-Jul-09,6,5,35,3.8
10102,15-Jul-09,6,6,31,2.6
10102,15-Jul-09,6,7,35,3.3
10102,15-Jul-09,6,8,30,2.4
10102,15-Jul-09,6,9,35,3.2
10102,15-Jul-09,6,10,31,3
10102,15-Jul-09,6,11,36,3.1
10102,15-Jul-09,6,12,35,3.9
10102,15-Jul-09,6,13,38,6.2
10102,15-Jul-09,6,14,35,3.8
10102,15-Jul-09,6,15,37,5.3
10102,15-Jul-09,6,16,34,3.3
10102,15-Jul-09,6,17,31,3.1
10102,15-Jul-09,6,18,37,6.8
10102,15-Jul-09,6,19,35,3.5
10102,15-Jul-09,6,20,31,2.9
10102,15-Jul-09,7,1,31,2.6
10102,15-Jul-09,7,2,35,3.1
10102,15-Jul-09,8,1,29,2.4
10102,15-Jul-09,8,2,29,2.3
10102,15-Jul-09,8,3,37,6.4
10102,15-Jul-09,8,4,37,6.1
10102,15-Jul-09,8,5,31,2.9
10102,15-Jul-09,8,6,34,3.4
10102,15-Jul-09,8,7,35,3
10102,15-Jul-09,8,8,34,2.8
10102,15-Jul-09,8,9,32,3.3
10102,15-Jul-09,8,10,32,3.1
10102,15-Jul-09,9,1,38,6.3
10102,15-Jul-09,9,2,35,3.2
10102,15-Jul-09,9,3,32,3.1
10102,15-Jul-09,9,4,36,3.9
10102,15-Jul-09,9,5,37,5.5
10102,15-Jul-09,9,6,34,2.8
10102,15-Jul-09,9,7,38,6.1
10102,15-Jul-09,9,8,36,2.7
10102,15-Jul-09,9,9,36,3.5
10102,15-Jul-09,9,10,35,3.7
10102,15-Jul-09,9,11,37,6.4
10102,15-Jul-09,9,12,32,2.6
10102,15-Jul-09,9,13,31,3.1
10102,15-Jul-09,9,14,36,3.9
10102,15-Jul-09,9,15,35,3.3
10102,15-Jul-09,9,16,35,3.3
10102,15-Jul-09,9,17,31,2.5
10102,15-Jul-09,9,18,30,2.9
10102,15-Jul-09,9,19,33,3.1
10102,15-Jul-09,9,20,32,2.7
10102,15-Jul-09,10,1,31,2.6
10102,15-Jul-09,10,2,35,3.2
10102,15-Jul-09,10,3,31,1.9
10102,15-Jul-09,10,4,34,3.5
10102,15-Jul-09,10,5,31,2.2
10102,15-Jul-09,10,6,31,3.5
10102,15-Jul-09,10,7,37,5.8
10102,15-Jul-09,10,8,35,3.4
10102,15-Jul-09,10,9,35,3.6
10102,15-Jul-09,10,10,35,3.2
10102,15-Jul-09,10,11,35,3.4
10102,15-Jul-09,10,12,35,3
10102,15-Jul-09,10,13,37,5.8
10102,15-Jul-09,10,14,31,3.4
10102,15-Jul-09,10,15,32,3.1
10102,15-Jul-09,10,16,36,3.5
10102,15-Jul-09,10,17,36,3.8
10102,15-Jul-09,10,18,30,2.8
10102,15-Jul-09,10,19,31,2.8
10102,15-Jul-09,10,20,36,3.2
10102,15-Jul-09,12,1,36,3.8
10102,15-Jul-09,12,2,31,1.5
10102,15-Jul-09,12,3,38,4.2
10102,15-Jul-09,12,4,36,4
10102,15-Jul-09,12,5,35,3.7
10102,15-Jul-09,12,6,29,2.1
10102,15-Jul-09,12,7,33,3.6
10102,15-Jul-09,12,8,33,4
10102,15-Jul-09,12,9,35,4.1
10102,15-Jul-09,12,10,35,3.9
10102,15-Jul-09,13,1,31,2.6
10102,15-Jul-09,13,2,36,2.7
10102,15-Jul-09,14,1,36,3.9
10102,15-Jul-09,14,2,35,2.8
10102,15-Jul-09,14,3,31,2.6
10102,15-Jul-09,14,4,35,3.3
10102,15-Jul-09,14,5,34,2.9
10102,15-Jul-09,14,6,35,3.1
10102,15-Jul-09,14,7,36,4.1
10102,15-Jul-09,14,8,32,2.8
10102,15-Jul-09,14,9,36,4
10102,15-Jul-09,14,10,37,4.6
10102,15-Jul-09,17,1,36,3.8
10102,15-Jul-09,17,2,32,3.3
10102,15-Jul-09,17,3,31,2.6
10102,15-Jul-09,17,4,31,3.1
10102,15-Jul-09,17,5,32,3.5
10102,15-Jul-09,17,6,31,2.5
10102,15-Jul-09,17,7,30,1.9
10102,15-Jul-09,17,8,31,3.4
10102,15-Jul-09,17,9,31,3.1
10102,15-Jul-09,17,10,36,3.6
10475,21-Jul-09,1,1,37,7.9
10475,21-Jul-09,1,2,27,0.3
10475,21-Jul-09,1,3,36,5.4
10475,21-Jul-09,1,4,36,5.1
10475,21-Jul-09,1,5,29,1.5
10475,21-Jul-09,1,6,35,4
10475,21-Jul-09,1,7,36,2.7
10475,21-Jul-09,1,8,30,1.5
10475,21-Jul-09,1,9,29,1.2
10475,21-Jul-09,1,10,29,2.8
10475,21-Jul-09,1,11,36,4.5
10475,21-Jul-09,1,12,28,1.2
10475,21-Jul-09,1,13,28,1.4
10475,21-Jul-09,1,14,27,1.3
10475,21-Jul-09,1,15,37,6.1
10475,21-Jul-09,1,16,28,1.2
10475,21-Jul-09,1,17,35,5.3
10475,21-Jul-09,1,18,28,1.2
10475,21-Jul-09,1,19,27,1.1
10475,21-Jul-09,1,20,37,5
10475,21-Jul-09,2,1,36,6.4
10475,21-Jul-09,2,2,30,1.5
10475,21-Jul-09,2,3,29,1.7
10475,21-Jul-09,2,4,29,1.7
10475,21-Jul-09,2,5,37,5.3
10475,21-Jul-09,2,6,29,1.8
10475,21-Jul-09,2,7,37,7.5
10475,21-Jul-09,2,8,37,5.8
10475,21-Jul-09,2,9,28,1.4
10475,21-Jul-09,2,10,27,1.2
10475,21-Jul-09,2,11,35,3.3
10475,21-Jul-09,2,12,29,1.5
10475,21-Jul-09,2,13,37,5.5
10475,21-Jul-09,2,14,28,1.2
10475,21-Jul-09,2,15,36,4.3
10475,21-Jul-09,2,16,29,1.7
10475,21-Jul-09,2,17,29,1
10475,21-Jul-09,2,18,35,5.1
10475,21-Jul-09,2,19,38,6.5
10475,21-Jul-09,2,20,29,0.8
10475,21-Jul-09,3,1,36,3
10475,21-Jul-09,3,2,29,1.5
10475,21-Jul-09,4,1,28,1.7
10475,21-Jul-09,4,2,37,4.6
10475,21-Jul-09,5,1,28,1.1
10475,21-Jul-09,5,2,37,5.6
10475,21-Jul-09,5,3,37,6.5
10475,21-Jul-09,5,4,29,1
10475,21-Jul-09,5,5,37,6.8
10475,21-Jul-09,5,6,28,1
10475,21-Jul-09,5,7,37,5.1
10475,21-Jul-09,5,8,36,4.5
10475,21-Jul-09,5,9,29,1.4
10475,21-Jul-09,5,10,37,4.8
10475,21-Jul-09,5,11,29,1.2
10475,21-Jul-09,5,12,37,4.8
10475,21-Jul-09,5,13,36,4.5
10475,21-Jul-09,5,14,27,1.1
10475,21-Jul-09,5,15,28,1
10475,21-Jul-09,5,16,37,4.3
10475,21-Jul-09,5,17,28,1.2
10475,21-Jul-09,5,18,29,1.4
10475,21-Jul-09,5,19,37,9.3
10475,21-Jul-09,5,20,29,1.1
10475,21-Jul-09,7,1,37,5.3
10475,21-Jul-09,7,2,37,5
10475,21-Jul-09,7,3,28,1.1
10475,21-Jul-09,7,4,28,1.2
10475,21-Jul-09,7,5,37,5.8
10475,21-Jul-09,7,6,30,1.4
10475,21-Jul-09,7,7,29,1.1
10475,21-Jul-09,7,8,37,4
10475,21-Jul-09,7,9,29,1.3
10475,21-Jul-09,7,10,36,4.2
10475,21-Jul-09,10,1,36,4.7
10475,21-Jul-09,10,2,28,1.4
10475,21-Jul-09,11,1,36,5.9
10475,21-Jul-09,11,2,37,4.6
10475,21-Jul-09,11,3,29,1.3
10475,21-Jul-09,11,4,28,1.5
10475,21-Jul-09,11,5,29,1.6
10475,21-Jul-09,11,6,35,4.3
10475,21-Jul-09,11,7,37,5.1
10475,21-Jul-09,11,8,36,4.5
10475,21-Jul-09,11,9,30,1.7
10475,21-Jul-09,11,10,36,4.7
10475,21-Jul-09,13,1,37,5
10475,21-Jul-09,13,2,37,4.7
10475,21-Jul-09,13,3,29,1
10475,21-Jul-09,13,4,37,5.4
10475,21-Jul-09,13,5,37,5
10475,21-Jul-09,13,6,29,1.9
10475,21-Jul-09,13,7,29,1.4
10475,21-Jul-09,13,8,29,1.2
10475,21-Jul-09,13,9,30,1.2
10475,21-Jul-09,13,10,37,3.6
10475,21-Jul-09,15,1,30,2.7
10475,21-Jul-09,15,2,37,4
10475,21-Jul-09,16,1,37,5.8
10475,21-Jul-09,16,2,36,4.2
10475,21-Jul-09,16,3,30,1
10475,21-Jul-09,16,4,28,0.8
10475,21-Jul-09,16,5,30,1.3
10475,21-Jul-09,16,6,36,4.9
10475,21-Jul-09,16,7,29,1.5
10475,21-Jul-09,16,8,29,1.3
10475,21-Jul-09,16,9,36,4.4
10475,21-Jul-09,16,10,30,0.4
10475,21-Jul-09,17,1,28,1.2
10475,21-Jul-09,17,2,29,2.4
10475,21-Jul-09,17,3,37,7.2
10475,21-Jul-09,17,4,28,1.1
10475,21-Jul-09,17,5,37,5.8
10475,21-Jul-09,17,6,37,5.2
10475,21-Jul-09,17,7,29,1.8
10475,21-Jul-09,17,8,28,1.6
10475,21-Jul-09,17,9,29,1.5
10475,21-Jul-09,17,10,38,6.4
10475,21-Jul-09,17,11,29,1.2
10475,21-Jul-09,17,12,37,5.4
10475,21-Jul-09,17,13,29,1.2
10475,21-Jul-09,17,14,36,4.6
10475,21-Jul-09,17,15,37,3.4
10475,21-Jul-09,17,16,28,1
10475,21-Jul-09,17,17,36,4.1
10475,21-Jul-09,17,18,29,1.8
10475,21-Jul-09,17,19,36,4.8
10475,21-Jul-09,17,20,29,1.8
