LakeID,SampleDate,Cage#,GenusSpp,MFLength,FoilWt,DryWt,AshMass,AFDM
10102,15-Jul-09,0,Ameletus spp.,11.95,0.0545,0.0604,0.0554,0.005
10102,15-Jul-09,0,Ameletus spp.,7.1,0.0449,0.0458,0.0451,0.0007
10102,15-Jul-09,0,Ameletus spp.,11.4,0.0513,0.0572,0.0524,0.0048
10102,15-Jul-09,0,Ameletus spp.,6.3,0.0474,0.0481,0.0476,0.0005
10102,15-Jul-09,0,Ameletus spp.,7.5,0.0461,0.048,0.0464,0.0016
10102,15-Jul-09,0,Ameletus spp.,6.95,0.0342,0.0358,0.0347,0.0011
10102,15-Jul-09,0,Ameletus spp.,7.2,0.0441,0.0455,0.0444,0.0011
10102,15-Jul-09,0,Ameletus spp.,9.4,0.0441,0.047,0.0445,0.0025
10102,15-Jul-09,0,Ameletus spp.,5.6,0.0253,0.0263,0.0254,0.0009
10102,15-Jul-09,0,Ameletus spp.,10.1,0.034,0.037,0.0346,0.0024
10102,15-Jul-09,0,Ameletus spp.,8.4,0.0365,0.0386,0.0369,0.0017
10102,15-Jul-09,0,Ameletus spp.,5.5,0.0226,0.0234,0.0229,0.0005
10102,15-Jul-09,0,Ameletus spp.,9.4,0.0269,0.0304,0.0275,0.0029
10102,15-Jul-09,0,Ameletus spp.,6.5,0.035,0.0361,0.0351,0.001
10102,15-Jul-09,0,Ameletus spp.,7.5,0.0304,0.0324,0.0308,0.0016
10102,15-Jul-09,0,Ameletus spp.,10.3,0.024,0.0284,0.025,0.0034
10102,15-Jul-09,0,Ameletus spp.,8.8,0.0315,0.0339,0.0319,0.002
10102,15-Jul-09,0,Ameletus spp.,8.35,0.03,0.0324,0.0305,0.0019
10102,15-Jul-09,0,Ameletus spp.,8.8,0.0254,0.0283,0.0262,0.0021
10102,15-Jul-09,0,Ameletus spp.,6.4,0.0278,0.029,0.0284,0.0006
10102,15-Jul-09,0,Ameletus spp.,8.7,0.024,0.0268,0.0249,0.0019
10102,15-Jul-09,0,Ameletus spp.,6.9,0.0261,0.0274,0.0266,0.0008
10102,15-Jul-09,0,Ameletus spp.,5.2,0.0254,0.0258,0.0259,0
10102,15-Jul-09,0,Ameletus spp.,6.9,0.0276,0.0289,0.028,0.0009
10102,15-Jul-09,0,Ameletus spp.,7.1,0.0243,0.0258,0.0246,0.0012
10102,15-Jul-09,0,Ameletus spp.,5.3,0.0303,0.0311,0.0305,0.0006
10102,15-Jul-09,0,Ameletus spp.,5.8,0.0228,0.0239,0.0231,0.0008
10102,15-Jul-09,0,Ameletus spp.,10.1,0.0266,0.0307,0.0273,0.0034
10102,15-Jul-09,0,Ameletus spp.,6.9,0.027,0.0283,0.0272,0.0011
10102,15-Jul-09,0,Ameletus spp.,5.1,0.0209,0.0213,0.021,0.0003
10102,15-Jul-09,0,Ameletus spp.,6,0.0209,0.0219,0.0215,0.0004
10102,15-Jul-09,0,Ameletus spp.,5,0.0215,0.0222,0.0217,0.0005
10102,15-Jul-09,0,Ameletus spp.,8.6,0.0255,0.0288,0.0266,0.0022
10102,15-Jul-09,0,Ameletus spp.,9.2,0.0221,0.0256,0.0231,0.0025
10102,15-Jul-09,0,Ameletus spp.,8.5,0.024,0.0264,0.0245,0.0019
10102,15-Jul-09,0,Ameletus spp.,9.2,0.0234,0.0269,0.0242,0.0027
10102,15-Jul-09,0,Ameletus spp.,7.3,0.0258,0.0272,0.026,0.0012
10102,15-Jul-09,0,Ameletus spp.,6.2,0.0288,0.0298,0.0285,0.0013
10102,15-Jul-09,0,Ameletus spp.,7.6,0.0351,0.037,0.0355,0.0015
10102,15-Jul-09,0,Ameletus spp.,5.4,0.0298,0.0305,0.03,0.0005
10102,15-Jul-09,0,Ameletus spp.,10.7,0.0263,0.0321,0.0277,0.0044
10102,15-Jul-09,0,Ameletus spp.,7,0.0234,0.0249,0.0238,0.0011
10102,15-Jul-09,0,Ameletus spp.,8.5,0.0211,0.0241,0.0221,0.002
10102,15-Jul-09,0,Ameletus spp.,8,0.0303,0.0323,0.0304,0.0019
10102,15-Jul-09,0,Ameletus spp.,7.3,0.0241,0.0256,0.0244,0.0012
10102,15-Jul-09,0,Ameletus spp.,8.4,0.0262,0.0287,0.0267,0.002
10102,15-Jul-09,0,Ameletus spp.,6,0.0299,0.031,0.0302,0.0008
10102,15-Jul-09,0,Ameletus spp.,8.6,0.0296,0.0322,0.0303,0.0019
10102,15-Jul-09,0,Ameletus spp.,5.6,0.0257,0.0264,0.0261,0.0003
10102,1-Aug-09,0,Ameletus spp.,9.2,0.0393,0.0423,0.0397,0.0026
10102,1-Aug-09,0,Ameletus spp.,9.5,0.0251,0.0278,0.0254,0.0024
10102,1-Aug-09,0,Ameletus spp.,9.8,0.0384,0.0416,0.0391,0.0025
10102,1-Aug-09,0,Ameletus spp.,8.8,0.0263,0.0294,0.0268,0.0026
10102,1-Aug-09,0,Ameletus spp.,8.2,0.0249,0.0267,0.0251,0.0016
10102,1-Aug-09,0,Ameletus spp.,9.1,0.0225,0.0252,0.0233,0.0019
10102,1-Aug-09,0,Ameletus spp.,9.7,0.0253,0.0286,0.0259,0.0027
10102,1-Aug-09,0,Ameletus spp.,7,0.0252,0.0272,0.0256,0.0016
10102,1-Aug-09,0,Ameletus spp.,10,0.0211,0.0245,0.0215,0.003
10102,1-Aug-09,0,Ameletus spp.,9.1,0.0274,0.0302,0.028,0.0022
10102,1-Aug-09,0,Ameletus spp.,8.9,0.0228,0.0258,0.0232,0.0026
10102,1-Aug-09,0,Ameletus spp.,6.9,0.0298,0.031,0.0301,0.0009
10102,1-Aug-09,0,Ameletus spp.,7.6,0.0238,0.0254,0.024,0.0014
10102,1-Aug-09,0,Ameletus spp.,8.1,0.028,0.0298,0.0282,0.0016
10102,1-Aug-09,0,Ameletus spp.,12,0.0283,0.0337,0.0293,0.0044
10102,1-Aug-09,0,Ameletus spp.,8.5,0.0219,0.0239,0.0221,0.0018
10102,1-Aug-09,0,Ameletus spp.,8.5,0.0306,0.0332,0.0311,0.0021
10102,1-Aug-09,0,Ameletus spp.,8.2,0.0333,0.0355,0.0337,0.0018
10102,1-Aug-09,0,Ameletus spp.,9.8,0.0244,0.0284,0.0249,0.0035
10102,1-Aug-09,0,Ameletus spp.,8.3,0.0324,0.0346,0.0328,0.0018
10102,1-Aug-09,0,Ameletus spp.,6.3,0.0247,0.0261,0.0248,0.0013
10102,1-Aug-09,0,Ameletus spp.,10.2,0.0352,0.0382,0.0354,0.0028
10102,1-Aug-09,0,Ameletus spp.,8.4,0.0306,0.0339,0.0314,0.0025
10102,1-Aug-09,0,Ameletus spp.,11,0.036,0.0411,0.0368,0.0043
10102,1-Aug-09,0,Ameletus spp.,10.9,0.0273,0.0317,0.0281,0.0036
10102,1-Aug-09,0,Ameletus spp.,6.4,0.0255,0.0264,0.0258,0.0006
10102,1-Aug-09,0,Ameletus spp.,7.7,0.0221,0.0235,0.0222,0.0013
10102,1-Aug-09,0,Ameletus spp.,5.5,0.033,0.0336,0.0334,0.0002
10102,1-Aug-09,0,Ameletus spp.,7.2,0.0249,0.0259,0.025,0.0009
10102,1-Aug-09,0,Ameletus spp.,7.5,0.0309,0.0328,0.0311,0.0017
10102,1-Aug-09,0,Ameletus spp.,8.1,0.0232,0.025,0.0236,0.0014
10102,1-Aug-09,0,Ameletus spp.,7.9,0.0252,0.0268,0.0254,0.0014
10102,1-Aug-09,0,Ameletus spp.,7.4,0.0256,0.027,0.0256,0.0014
10102,1-Aug-09,0,Ameletus spp.,9.2,0.0217,0.0249,0.0223,0.0026
10102,1-Aug-09,0,Ameletus spp.,9.6,0.0245,0.028,0.0249,0.0031
10102,1-Aug-09,0,Ameletus spp.,9,0.0213,0.0235,0.0214,0.0021
10102,1-Aug-09,0,Ameletus spp.,6.7,0.0228,0.0246,0.0231,0.0015
10102,1-Aug-09,0,Ameletus spp.,10.5,0.0211,0.0257,0.0215,0.0042
10102,1-Aug-09,0,Ameletus spp.,8.8,0.0252,0.0277,0.0256,0.0021
10102,1-Aug-09,0,Ameletus spp.,7.4,0.024,0.0256,0.0242,0.0014
10102,1-Aug-09,0,Ameletus spp.,8.9,0.0254,0.0287,0.0258,0.0029
10102,1-Aug-09,0,Ameletus spp.,6.15,0.0241,0.0259,0.0242,0.0017
10102,1-Aug-09,0,Ameletus spp.,8.7,0.0239,0.0272,0.0244,0.0028
10102,1-Aug-09,0,Ameletus spp.,11,0.0266,0.0317,0.0276,0.0041
10102,1-Aug-09,0,Ameletus spp.,8,0.026,0.0277,0.0262,0.0015
10102,1-Aug-09,0,Ameletus spp.,9.3,0.0299,0.0327,0.0302,0.0025
10102,1-Aug-09,0,Ameletus spp.,8.2,0.028,0.0302,0.0283,0.0019
10102,1-Aug-09,0,Ameletus spp.,8.6,0.0319,0.0342,0.0318,0.0024
10102,1-Aug-09,0,Ameletus spp.,8.4,0.0301,0.0322,0.0304,0.0018
10102,1-Aug-09,0,Ameletus spp.,6.9,0.024,0.0251,0.0241,0.001
10102,1-Aug-09,0,Ameletus spp.,7.7,0.03,0.0321,0.0303,0.0018
10102,1-Aug-09,0,Ameletus spp.,10,0.0299,0.0333,0.0303,0.003
10102,1-Aug-09,0,Ameletus spp.,7.9,0.0256,0.0282,0.0261,0.0021
10102,1-Aug-09,0,Ameletus spp.,10.1,0.0243,0.028,0.0249,0.0031
10102,1-Aug-09,0,Ameletus spp.,10.5,0.0247,0.0291,0.0254,0.0037
10102,1-Aug-09,0,Ameletus spp.,10.1,0.0354,0.0384,0.035,0.0034
10102,1-Aug-09,0,Ameletus spp.,6.9,0.0252,0.0268,0.0257,0.0011
10102,1-Aug-09,0,Ameletus spp.,6.4,0.0256,0.0264,0.026,0.0004
10102,1-Aug-09,0,Ameletus spp.,6,0.0241,0.0246,0.0243,0.0003
10102,24-Aug-09,0,Ameletus spp.,10,0.9893,0.9934,0.9899,0.0035
10102,24-Aug-09,0,Ameletus spp.,10,1.011,1.0137,1.0119,0.0018
10102,24-Aug-09,0,Ameletus spp.,8.2,0.9926,0.9939,0.992,0.0019
10102,24-Aug-09,0,Ameletus spp.,7.8,0.9959,0.9972,0.9951,0.0021
10102,24-Aug-09,0,Ameletus spp.,9.7,0.9995,1.0028,0.9997,0.0031
10102,24-Aug-09,0,Ameletus spp.,10.9,0.9701,0.9751,0.9712,0.0039
10102,24-Aug-09,0,Ameletus spp.,9.7,1.0192,1.0219,1.0189,0.003
10102,24-Aug-09,0,Ameletus spp.,9.6,1.0013,1.004,1.0016,0.0024
10102,24-Aug-09,0,Ameletus spp.,11.1,1.0088,1.0141,1.0099,0.0042
10102,24-Aug-09,0,Ameletus spp.,9.3,0.9995,1.0038,1.001,0.0028
10102,24-Aug-09,0,Ameletus spp.,8.8,1.0002,1.0024,1,0.0024
10102,24-Aug-09,0,Ameletus spp.,11.5,1.0163,1.0225,1.0162,0.0063
10102,24-Aug-09,0,Ameletus spp.,8.7,1.0031,1.0049,1.0034,0.0015
10102,24-Aug-09,0,Ameletus spp.,8.3,0.9712,0.9728,0.9711,0.0017
10102,24-Aug-09,0,Ameletus spp.,8.6,1.0285,1.0304,1.0283,0.0021
10102,24-Aug-09,0,Ameletus spp.,11.5,1.027,1.0314,1.0275,0.0039
10102,24-Aug-09,0,Ameletus spp.,8.1,0.9945,0.9954,0.9942,0.0012
10102,24-Aug-09,0,Ameletus spp.,11,0.9668,0.9705,0.9672,0.0033
10102,24-Aug-09,0,Ameletus spp.,10.6,0.9954,0.9997,0.9962,0.0035
10102,24-Aug-09,0,Ameletus spp.,9.3,1.0191,1.0229,1.0193,0.0036
10102,24-Aug-09,0,Ameletus spp.,8.6,0.9899,0.9925,0.9904,0.0021
10102,24-Aug-09,0,Ameletus spp.,11,1.0018,1.0074,1.0025,0.0049
10102,24-Aug-09,0,Ameletus spp.,11.8,0.9995,1.0047,1.0002,0.0045
10102,24-Aug-09,0,Ameletus spp.,9.2,0.967,0.9706,0.9673,0.0033
10102,24-Aug-09,0,Ameletus spp.,9.6,0.9997,1.0025,1.0004,0.0021
10102,24-Aug-09,0,Ameletus spp.,10.9,1.0197,1.0242,1.0198,0.0044
10102,24-Aug-09,0,Ameletus spp.,10.4,1.0032,1.0064,1.0037,0.0027
10102,24-Aug-09,0,Ameletus spp.,9.4,0.9991,1.0015,0.9995,0.002
10102,24-Aug-09,0,Ameletus spp.,9.5,0.9858,0.9889,0.9861,0.0028
10102,24-Aug-09,0,Ameletus spp.,10.5,1.0144,1.021,1.0149,0.0061
10102,24-Aug-09,0,Ameletus spp.,9.1,1.0073,1.0101,1.0079,0.0022
10102,24-Aug-09,0,Ameletus spp.,9.3,1.0049,1.0081,1.0053,0.0028
10102,24-Aug-09,0,Ameletus spp.,9.5,0.991,0.9939,0.9912,0.0027
10102,24-Aug-09,0,Ameletus spp.,14,1.0146,1.0208,1.0157,0.0051
10102,24-Aug-09,0,Ameletus spp.,10.1,0.9938,0.9968,0.9943,0.0025
10102,24-Aug-09,0,Ameletus spp.,10.5,0.9923,0.9966,0.9933,0.0033
10102,24-Aug-09,0,Ameletus spp.,10,0.9868,0.9901,0.9873,0.0028
10102,24-Aug-09,0,Ameletus spp.,9.7,0.9855,0.9895,0.986,0.0035
10102,24-Aug-09,0,Ameletus spp.,9.2,0.9997,1.0036,1.0003,0.0033
10102,24-Aug-09,0,Ameletus spp.,10,0.977,0.9796,0.9773,0.0023
10102,24-Aug-09,0,Ameletus spp.,9,0.997,0.9995,0.9976,0.0019
10102,24-Aug-09,0,Ameletus spp.,9.3,1.0102,1.0125,1.0106,0.0019
10102,12-Sep-09,0,Ameletus spp.,5.1,1.0173,1.0183,1.0174,0.0009
10102,12-Sep-09,0,Ameletus spp.,4.8,0.9989,0.9993,0.9988,0.0005
10102,12-Sep-09,0,Ameletus spp.,5,1.0091,1.0096,1.0091,0.0005
10102,12-Sep-09,0,Ameletus spp.,6.4,0.9956,0.9961,0.9956,0.0005
10102,12-Sep-09,0,Ameletus spp.,3.7,1.0001,1.0003,1.0001,0.0002
10102,12-Sep-09,0,Ameletus spp.,5.1,1.0199,1.0205,1.0199,0.0006
10102,12-Sep-09,0,Callibaetis spp.,3,1.0225,1.0227,1.0225,0.0002
10102,12-Sep-09,0,Ameletus spp.,4.6,1.0417,1.0421,1.0418,0.0003
10102,12-Sep-09,0,Ameletus spp.,3.1,1.0346,1.0348,1.0348,0
10102,12-Sep-09,0,Ameletus spp.,3.2,0.9831,0.9833,0.9831,0.0002
10102,12-Sep-09,0,Ameletus spp.,3.1,1.005,1.0051,1.0048,0.0003
10102,12-Sep-09,0,Ameletus spp.,3,0.9802,0.9805,0.9801,0.0004
10102,12-Sep-09,0,Ameletus spp.,4.7,0.998,0.9985,0.998,0.0005
10102,12-Sep-09,0,Ameletus spp.,3.3,1.013,1.0132,1.013,0.0002
10102,12-Sep-09,0,Ameletus spp.,4.2,1.0027,1.0031,1.0026,0.0005
10102,12-Sep-09,0,Ameletus spp.,3.9,0.9973,0.9975,0.9973,0.0002
10102,12-Sep-09,0,Ameletus spp.,4,1.0226,1.0229,1.0225,0.0004
10102,12-Sep-09,0,Ameletus spp.,2.9,0.9858,0.9859,0.9857,0.0002
10102,12-Sep-09,0,Ameletus spp.,5.3,0.9915,0.992,0.9918,0.0002
10102,12-Sep-09,0,Ameletus spp.,6.5,0.9882,0.989,0.9883,0.0007
10102,12-Sep-09,0,Ameletus spp.,10.8,0.9756,0.9785,0.9757,0.0028
10102,12-Sep-09,0,Ameletus spp.,9.6,0.9995,1.0024,0.9996,0.0028
10102,12-Sep-09,0,Ameletus spp.,9.3,0.9787,0.9816,0.9792,0.0024
10102,12-Sep-09,0,Ameletus spp.,9.8,0.9913,0.9958,0.9915,0.0043
10102,12-Sep-09,0,Ameletus spp.,9.4,1.0168,1.0198,1.017,0.0028
10102,12-Sep-09,0,Ameletus spp.,10.8,1.0157,1.0194,1.016,0.0034
10102,12-Sep-09,0,Ameletus spp.,10.7,1.0184,1.0223,1.0184,0.0039
10102,12-Sep-09,0,Ameletus spp.,9.3,1.026,1.0297,1.0261,0.0036
10475,20-Jul-09,0,Callibaetis spp.,8.2,0.0297,0.0306,0.0296,0.001
10475,20-Jul-09,0,Callibaetis spp.,8.7,0.0269,0.0286,0.0268,0.0018
10475,20-Jul-09,0,Callibaetis spp.,4.7,0.0251,0.0255,0.025,0.0005
10475,20-Jul-09,0,Callibaetis spp.,7.4,0.0242,0.0252,0.0244,0.0008
10475,20-Jul-09,0,Callibaetis spp.,8.5,0.0257,0.0274,0.0255,0.0019
10475,20-Jul-09,0,Callibaetis spp.,7.6,0.0273,0.029,0.0279,0.0011
10475,20-Jul-09,0,Callibaetis spp.,9.5,0.0246,0.0265,0.0246,0.0019
10475,20-Jul-09,0,Callibaetis spp.,8.6,0.0273,0.0291,0.0269,0.0022
10475,20-Jul-09,0,Callibaetis spp.,7.1,0.0279,0.0294,0.028,0.0014
10475,20-Jul-09,0,Callibaetis spp.,9.9,0.0275,0.0303,0.0277,0.0026
10475,20-Jul-09,0,Callibaetis spp.,4.2,0.0266,0.027,0.0266,0.0004
10475,20-Jul-09,0,Callibaetis spp.,7.6,0.029,0.0303,0.029,0.0013
10475,20-Jul-09,0,Callibaetis spp.,8.1,0.0259,0.0274,0.0262,0.0012
10475,20-Jul-09,0,Callibaetis spp.,8,0.0316,0.0328,0.0315,0.0013
10475,20-Jul-09,0,Callibaetis spp.,7.8,0.0248,0.0265,0.0251,0.0014
10475,20-Jul-09,0,Callibaetis spp.,7.9,0.027,0.0291,0.0272,0.0019
10475,20-Jul-09,0,Callibaetis spp.,4,0.0346,0.0352,0.0346,0.0006
10475,20-Jul-09,0,Callibaetis spp.,4,0.028,0.0281,0.0277,0.0004
10475,20-Jul-09,0,Callibaetis spp.,4.4,0.0305,0.0308,0.0303,0.0005
10475,20-Jul-09,0,Callibaetis spp.,9.4,0.032,0.0342,0.0318,0.0024
10475,20-Jul-09,0,Callibaetis spp.,7.6,0.0234,0.0251,0.0238,0.0013
10475,20-Jul-09,0,Callibaetis spp.,8,0.0343,0.0357,0.0346,0.0011
10475,20-Jul-09,0,Callibaetis spp.,8.7,0.0284,0.03,0.0285,0.0015
10475,20-Jul-09,0,Callibaetis spp.,9,0.0309,0.0337,0.0312,0.0025
10475,20-Jul-09,0,Callibaetis spp.,7.5,0.0263,0.028,0.0269,0.0011
10475,20-Jul-09,0,Callibaetis spp.,8,0.0299,0.0315,0.03,0.0015
10475,20-Jul-09,0,Callibaetis spp.,8.5,0.0336,0.0349,0.0335,0.0014
10475,20-Jul-09,0,Callibaetis spp.,9.5,0.0354,0.0377,0.0353,0.0024
10475,20-Jul-09,0,Callibaetis spp.,3.8,0.0295,0.0301,0.0294,0.0007
10475,20-Jul-09,0,Callibaetis spp.,9.8,0.0383,0.0406,0.0384,0.0022
10475,20-Jul-09,0,Callibaetis spp.,9.3,0.0346,0.0368,0.0347,0.0021
10475,20-Jul-09,0,Callibaetis spp.,8.5,0.0283,0.0299,0.028,0.0019
10475,12-Aug-09,0,Callibaetis spp.,5.3,0.0317,0.0325,0.0317,0.0008
10475,12-Aug-09,0,Callibaetis spp.,5.3,0.0301,0.0309,0.0301,0.0008
10475,12-Aug-09,0,Ameletus spp.,3.7,0.0263,0.0266,0.0264,0.0002
10475,12-Aug-09,0,Callibaetis spp.,7.2,0.0279,0.0293,0.0275,0.0018
10475,12-Aug-09,0,Ameletus spp.,7.6,0.0324,0.0338,0.0325,0.0013
10475,12-Aug-09,0,Callibaetis spp.,7.6,0.0243,0.0263,0.0246,0.0017
10475,12-Aug-09,0,Callibaetis spp.,4.8,0.0322,0.0327,0.0325,0.0002
10475,12-Aug-09,0,Callibaetis spp.,8.1,0.0308,0.0331,0.0311,0.002
